Timestamp,Analog_input_ai5,Analog_input_ai9,Analog_input_ai11,Analog_input_ai17,Analog_input_ai16,Analog_input_ai18,Analog_input_ai1,Analog_input_ai2,Analog_input_ai3,Analog_input_ai4,RTD_ai4,RTD_ai1,RTD_ai2,RTD_ai3,RTD_ai5,RTD_ai0,Analog_input_ai10,T_Sup_17_25_Flux_ai12,T_Sup_17_25_Flux_ai13,T_Sup_17_25_Flux_ai14,T_Sup_17_25_Flux_ai15,T_Sup_17_25_Flux_ai11,T_Sup_1_16_ai0,T_Sup_1_16_ai1,T_Sup_1_16_ai2,T_Sup_1_16_ai3,T_Sup_1_16_ai4,T_Sup_1_16_ai5,T_Sup_1_16_ai6,T_Sup_1_16_ai7,T_Sup_1_16_ai8,T_Sup_1_16_ai9,T_Sup_1_16_ai10,T_Sup_1_16_ai11,T_Sup_1_16_ai12,T_Sup_1_16_ai13,T_Sup_1_16_ai14,T_Sup_1_16_ai15,T_Sup_17_25_Flux_ai0,T_Sup_17_25_Flux_ai1,T_Sup_17_25_Flux_ai2,T_Sup_17_25_Flux_ai3,T_Sup_17_25_Flux_ai4,T_Sup_17_25_Flux_ai5,T_Sup_17_25_Flux_ai6,T_Sup_17_25_Flux_ai7,T_Sup_17_25_Flux_ai8,EP_HR,EP_EDA,EP_TEMP,Muse_Delta_TP9,Muse_Delta_AF7,Muse_Delta_AF8,Muse_Delta_TP10,Muse_Theta_TP9,Muse_Theta_AF7,Muse_Theta_AF8,Muse_Theta_TP10,Muse_Alpha_TP9,Muse_Alpha_AF7,Muse_Alpha_AF8,Muse_Alpha_TP10,Muse_Beta_TP9,Muse_Beta_AF7,Muse_Beta_AF8,Muse_Beta_TP10,Muse_Gamma_TP9,Muse_Gamma_AF7,Muse_Gamma_AF8,Muse_Gamma_TP10,Muse_RAW_TP9,Muse_RAW_AF7,Muse_RAW_AF8,Muse_RAW_TP10,Muse_AUX_RIGHT,Muse_Accelerometer_X,Muse_Accelerometer_Y,Muse_Accelerometer_Z,Muse_Gyro_X,Muse_Gyro_Y,Muse_Gyro_Z,Muse_HeadBandOn,Muse_HSI_TP9,Muse_HSI_AF7,Muse_HSI_AF8,Muse_HSI_TP10,Muse_Battery
2020-12-15 12:57:15,16.18449426797,0.109574795339989,476.13350845179,0.0029271127538152,0.011140633293428,0.0732472463397531,456.101037941041,4.55290940719306,13.4282227413788,14.7778436409143,13.4632145295931,13.821942440886,14.5724127945277,14.7986917107469,15.8308172899674,15.3845531006773,39.7984309076328,-4.68175886164658e-05,-0.0001073163066694,-0.000207154092619,-0.0001779757546172,-9.24803371715747e-05,16.3659278295417,16.339844097791,15.4080155483265,15.815528484194,16.2522665208351,16.3829280413336,15.6427235011198,15.5858072916673,16.1907659664558,16.5426529387669,15.4110493155104,15.1521738216123,16.2541300462753,16.0525928316995,15.3993808709449,15.2142798465782,14.8814845568496,17.0892672972897,18.0453349479554,19.4785366331741,-54880.076230003,-54880.076230003,-54880.076230003,-54880.076230003,-54880.076230003,76.77466666666666,0.011102233333333333,28.65933333333335,1.1844048300307533,0.3366324632597863,0.35225226025686734,0.14633303111602816,0.9011616411764399,0.21456765933453217,0.15888158985295806,0.2691121902178785,0.9730453785561637,0.29525106889861874,0.28088498686333074,0.5212702783216054,0.6721726261480323,0.10063464376075058,-0.04287576122157936,0.5186127171670576,0.18379460804326295,-0.13165452897065416,-0.36439447058769875,0.32155458454349756,768.7298829284857,793.5605621240552,781.6493865233256,768.2020939744592,823.2666224237686,0.03854697006022772,0.11325099488736318,0.9747403214181001,3.359997401114457,-2.5515669523690994,-0.7016798888826109,1.0,1.5373990096429502,1.0,1.0,1.5373990096429502,83.18608287724786
2020-12-15 12:57:45,16.189279805975,0.121986199735773,479.546365710876,0.0160823831607332,0.0001785278426723,0.0716714901728326,459.053620667077,2.91714804870776,13.2271309630354,13.6925431306686,13.3692166238352,13.7489099414564,14.5386104855169,14.7651750221037,15.8283659384702,15.3765980113084,39.7945875999086,-5.4063278678851e-05,-0.0001202896309071,-0.0001702364635608,-0.0001938268657819,-6.69062177482973e-05,16.3673366496749,16.3435819547358,15.4056934105726,15.8169389834492,16.2452897554506,16.3908572531824,15.6357375221612,15.5860521075287,16.184720174463,16.5331197626456,15.4117609555355,15.1498503946876,16.2490168550669,16.057964288908,15.3902908224892,15.2292329478637,14.8830305373117,17.0789572721255,18.0529134108277,19.4835472295864,-54880.1557943337,-54880.1557943337,-54880.1557943337,-54880.1557943337,-54880.1557943337,79.88066666666667,0.0009394000000000001,28.26200000000001,0.5703062932950521,0.43452335660833336,0.08807499385416667,0.6222544206848959,0.38681813824427086,0.07034660079182292,-0.009058115666145835,0.515003074388177,0.6952390376067707,0.2341077349626302,0.2024804781461979,0.6502995825119792,0.5967672154296876,0.0217683420203125,-0.05691421093729167,0.6296380240182292,0.27634352703645837,-0.32856272538541664,-0.40175005943750003,0.38661094849479166,792.1521513072917,812.9308740364582,787.3061801901041,796.2238468151041,821.0903165078125,-0.2789348602294922,0.1305845260620117,0.9337173461914062,3.175726890563965,-2.378068447113037,-1.4542388916015625,1.0,1.1760416666666667,1.0,1.0,1.1760416666666667,82.765625
2020-12-15 12:58:15,16.1749975785612,0.0958399293327289,476.637105741328,0.0093107229060365,0.0172539721282704,0.0714942021068455,459.541381049239,3.26478143124473,12.5055809322347,11.4544982585012,13.313186545952,13.7167577705158,14.5554351218204,14.8080274687833,15.8262210073737,15.3666541760168,39.8002037882926,-6.66920135433682e-05,-0.0001225806845772,-0.000185668479542,-0.0002150237688436,-9.76026116372711e-05,16.3489864456482,16.3305875779692,15.4071416517426,15.8032302845163,16.2416105704537,16.3902065678962,15.6320534782696,15.5900658189338,16.1954848584585,16.5359612651812,15.4148427286777,15.160639244178,16.2632740891211,16.0719943858505,15.3947729863009,15.2243783544276,14.8666225120695,17.0732172140481,18.0288537959014,19.4912536747917,-54880.0270876677,-54880.0270876677,-54880.0270876677,-54880.0270876677,-54880.0270876677,73.33666666666667,0.031705500000000005,28.467333333333336,0.20858033933064182,0.1284856447791408,0.04268858430359731,0.11298810309989647,0.11489769533017598,0.06545531561858178,0.0034653327836438944,0.15754878203918218,0.4243635265050724,0.16779968957463767,0.08690139464585922,0.3247192045988613,0.6766950606651139,0.11465507246272774,0.02177668272818944,0.6662473416200828,0.6725187450258799,-0.12008335145263975,-0.2716832758437371,0.5009087973592132,797.5206507556936,810.9734583359214,786.2098189596273,800.7879953752588,819.4963088328157,-0.1322072662922166,0.10834858580405668,0.9712844753857726,3.257124527640965,-3.9410665760869565,-1.1692843229874321,1.0,1.0538302277432712,1.0,1.0,1.0538302277432712,85.0
2020-12-15 12:58:45,16.1504500001937,0.0948617455280868,471.547574493145,0.0100074774031328,0.0208245289817172,0.0743072554056201,459.772864713244,3.38057657364476,11.4763183281612,10.4403609299875,13.2785892034356,13.6619466815283,14.5305040998352,14.8162919319111,15.8236164500216,15.3643594489644,39.8136305697936,-6.8154190072667e-05,-0.000166594992077,-0.0001644063838962,-0.0001892075055365,-8.89692508559973e-05,16.3538741725565,16.3378044857994,15.400837680606,15.7859725625053,16.248130038115,16.3848475005369,15.6327502473808,15.5830645110588,16.1931521657236,16.5233869988963,15.4155398259517,15.1508294487164,16.2674639222319,16.072224427824,15.378200127609,15.2124687221197,14.8627551574446,17.0658552727534,18.0440156621423,19.4714381261878,-54879.9475244363,-54879.9475244363,-54879.9475244363,-54879.9475244363,-54879.9475244363,62.81733333333332,0.04148373333333333,28.523333333333323,0.7520522147589098,0.5291033414819183,0.4312021853009958,0.7316929410665618,0.6338177923794549,0.2729158665461216,0.3612355908337526,0.6373286078118447,0.7332290597012578,0.39308327300314466,0.4020150283209119,0.7697099871907757,0.9092929615828093,0.4469737773871593,0.3733078933948113,0.8520260853825996,0.6404761996121594,0.2848274451154612,0.1930035833539832,0.7556278501991613,799.0241904035639,803.5999230712788,788.9751110455975,804.0535345597485,817.8437617269392,-0.3719872048815841,0.10715143935485456,0.902437797882272,5.792667700809503,-3.1516385828174136,-3.890478745946344,1.0,1.0408805031446542,1.0,1.0,1.0408805031446542,85.0
2020-12-15 12:59:15,16.1529047580305,0.109179926465745,478.192281615274,0.0075837139835187,0.0150335320850332,0.0708172840367129,459.479275675969,3.43314310509822,10.9494132369408,9.77584062670712,13.2672609472229,13.6173941905617,14.4924196432566,14.7997630259288,15.820705476541,15.3496732328468,39.8183541189643,-7.32764645383635e-05,-0.0001882761829064,-0.0001665577391718,-0.0002008583516394,-9.24430842663696e-05,16.3434234697352,16.3275863230491,15.3933992697374,15.7787735382426,16.2446653470289,16.379520821118,15.6222832169506,15.5702635053264,16.1899200351619,16.5189931429121,15.4174362549788,15.1466560115526,16.2698227203079,16.0699235846024,15.3777628882603,15.222770668821,14.854635428224,17.0612096136112,18.051910033125,19.4788456838443,-54879.8047803418,-54879.8047803418,-54879.8047803418,-54879.8047803418,-54879.8047803418,72.57799999999999,0.004867816666666666,28.87266666666664,0.4059512565356215,0.27791989420379615,0.33662780782168483,0.357462130350442,0.4696216357446698,0.0035945767068122723,0.08252638844149766,0.21404278283276132,0.6131585464742589,0.21244875190847634,0.24069073534321372,0.3658779973874155,0.8034926974544981,0.02104935236448258,-0.10901925108694747,0.6724294396411856,0.6278226329110764,-0.30596032222438896,-0.37780068398751954,0.6938521825544463,800.3447696697867,797.4862282813314,789.6322273010921,803.0168289963599,819.8597558918357,-0.22516516627461974,0.0838307873135238,0.9649364929675313,3.36486625968945,-3.4579472534370126,-0.7780194691674386,1.0,1.1487259490379615,1.0,1.0,1.1487259490379615,83.4399375975039
2020-12-15 12:59:45,16.1368496499568,0.10184850703767,478.4099864012,0.0160885820441593,0.004775619791485,0.0732050939324554,458.89209760142,3.09641975739129,11.3744086846357,9.1871946565625,13.2439922160454,13.6049930865212,14.4301700728196,14.7844585556579,15.8200926403394,15.341871206578,39.8315453428951,-6.43637069680516e-05,-0.0001367367885551,-0.0001762434945251,-0.0002102926498825,-9.02172231803669e-05,16.3416293530929,16.3262579529395,15.3965023234857,15.7695153775276,16.2438026297154,16.3858775010244,15.6144214971095,15.5714990950112,16.1827669017329,16.5188293584964,15.4121380695467,15.1446237365397,16.2661648486313,16.0748863419926,15.3869339188849,15.2123340102456,14.8716813846628,17.0608449807588,18.0443529226354,19.4740876713796,-54879.4420797758,-54879.4420797758,-54879.4420797758,-54879.4420797758,-54879.4420797758,73.81933333333335,0.0607632,28.30199999999999,0.5470734927510352,0.5315239177044513,0.502595497254089,0.812236703141822,0.3629333245098344,0.33016034749741197,0.47827115501285716,0.5410080767805383,0.6640733671162008,0.2847845170398551,0.3377889366780538,0.8720375961878882,0.9287170396532091,0.15669656762287784,0.11763500165615942,0.795590681216356,0.8120848913043479,-0.05381839305926501,-0.012028102382976188,0.7835322745496894,800.8697480175983,794.7765744177019,791.7630424896481,804.7530629736025,817.0379535326086,-0.23309231396787655,0.11109251413286103,0.9476416925465838,3.085738472316576,-3.640276038128397,-0.8848870318868886,1.0,1.4868012422360248,1.0,1.0,1.4868012422360248,85.0
2020-12-15 13:00:15,16.1314194280755,0.0942548748406693,490.146952280221,0.010704231900229,0.0162621507800907,0.0740059896711105,459.203606370903,3.70812557388103,11.4118499405295,9.80014024973758,13.2217952208808,13.6052992860715,14.3396272960485,14.7439020456695,15.8167220432237,15.3371288072844,39.9078164045701,-6.68875912956948e-05,-0.0001523830087413,-0.0001908373201392,-0.0001999922215933,-9.33557804438937e-05,16.3406145981414,16.3201192394026,15.404820347574,15.7563735748536,16.2448841686101,16.3867258342835,15.6164375600244,15.5574184855126,16.184780485029,16.5112963381319,15.39268499516,15.1459413545308,16.2642181884715,16.0722397808304,15.3803159419373,15.2117837038004,14.8666681635091,17.0569856745271,18.0458387728152,19.4663156613333,-54878.8383901412,-54878.8383901412,-54878.8383901412,-54878.8383901412,-54878.8383901412,67.85866666666668,0.03076598333333334,28.080666666666655,0.667729723311484,0.6922881150839014,0.5120785405249082,0.14450683838751968,0.6067220262797588,0.36364900493707397,0.23283736080335607,0.20959453767697953,0.8669854404604089,0.414885689171054,0.3460780116560986,0.491811858512323,0.713692393864709,0.28873268241237543,0.1796951959312218,0.6634541287414788,0.5616200995700052,0.019081417617461984,0.027170327497797585,0.27084801905610906,804.1359415495543,797.1495271578395,795.4283570634504,807.4575281646565,817.2785052962769,-0.22392809847355138,0.04676451580525695,0.9640829389359105,3.332499367564401,-3.278585592989029,-1.1110369997869691,1.0,1.2451494493969586,1.0,1.0,1.2451494493969586,80.0
2020-12-15 13:00:45,16.1324112494237,0.0910054201486957,492.931490715235,0.0201141369410835,0.0112522131950982,0.0729422612751878,459.208515886576,3.95831250895941,12.1772880659871,10.1157873937957,13.2254691961921,13.575444960788,14.3506391254255,14.7394638157228,15.8142707019855,15.3256552882232,39.9025845469585,-7.11903018468798e-05,-0.0001511816025484,-0.0001837965210554,-0.0001987721889479,-9.75932984109699e-05,16.3339089663527,16.3178385857303,15.3941337632409,15.7442959479343,16.2328193074492,16.3823496332144,15.5992243422933,15.5525678318421,16.1738789597063,16.5101806848085,15.3908665086742,15.1597662032364,16.2635678100943,16.0645981123909,15.3812979871254,15.2001587537093,14.87470515592,17.0622463068719,18.0369336181637,19.4706237812428,-54878.1973052099,-54878.1973052099,-54878.1973052099,-54878.1973052099,-54878.1973052099,70.79866666666666,0.004995899999999999,27.83799999999998,0.5915942048020834,0.24878669728894792,0.23755543028864584,0.4307793624932292,0.4466967696045573,-0.04026407788088542,0.08835897554645834,0.14173861865885418,0.7327984371380208,0.09449802440348959,0.25823721944281247,0.5281458169829948,0.9651532362291667,0.21062481017760418,0.14270772612828125,0.8319571887135416,0.8229836859479166,0.14281041971885416,-0.047321590595416664,0.8638964913203125,804.9990187734376,791.1700089166667,794.3596656276042,807.2553244140624,815.0120478151041,-0.1364900588989258,0.1337827682495117,0.9692888259887695,3.3489785194396973,-3.587465286254883,-1.6071162223815918,1.0,1.0549479166666667,1.0,1.0,1.0549479166666667,80.421875
2020-12-15 13:01:15,16.1204474044113,0.0990112780935334,481.911859626285,0.015849305143911,0.0102827078272526,0.0712102932459291,458.831465082852,2.91566031668549,12.4567337308367,10.840312888641,13.1901073500436,13.6112701828633,14.3056743820165,14.716048423487,15.8116661538749,15.3219837703774,40.0075192455959,-7.06128818162013e-05,-0.0001585111116475,-0.0001638662167707,-0.0001820642609634,-9.08225828899493e-05,16.3346848432989,16.3172170411897,15.3855761621251,15.7406420505161,16.2354589547679,16.380796670689,15.6074660455878,15.5465794481267,16.1809455296134,16.5046703294871,15.3921107230776,15.1472347750202,16.257122761705,16.0537225262817,15.3666720893504,15.2086410608397,14.8833307394162,17.0655387977517,18.0469484386911,19.465339933899,-54877.4860801017,-54877.4860801017,-54877.4860801017,-54877.4860801017,-54877.4860801017,71.19066666666666,0.003117133333333333,28.079333333333317,0.3407631928997923,0.6504580560275183,0.6872151212466251,0.2082465100692627,0.23111201365238837,0.40962189110944963,0.5599415281817237,0.18891749936386293,0.49885668505996883,0.4281027309761163,0.5869782976287643,0.6264519008930426,0.668186513032191,0.09193697299044652,0.09458146950659398,0.8363227517133958,0.5354794657533749,-0.15570452916484945,-0.16463337617185878,0.6343171495674974,801.9199984008308,799.4677942731048,797.1887073234683,806.4699113421599,814.1789337668744,-0.17764329761730918,-0.0020957305052570095,0.9752980645200545,3.900866642176548,-3.6504285580643985,-3.7702438021746008,1.0,1.513239875389408,1.0,1.0,1.513239875389408,81.88473520249221
2020-12-15 13:01:45,16.1136162348757,0.0929301734525069,482.392149114141,0.0125279434041943,0.013017655194858,0.068924145038375,459.005998365045,3.48769327924811,12.6268310920497,10.7272452549485,13.2198051525925,13.5387015388607,14.2677454051484,14.7204866225877,15.8076827312487,15.3186182158676,40.0216403020406,-7.65640334227105e-05,-0.0001430884088926,-0.0001865439228143,-0.0001827348132571,-9.2983251391843e-05,16.3382530032605,16.3117018881542,15.3928856808851,15.7372188239002,16.237630191562,16.3811042188404,15.600542792884,15.5513201781338,16.1761276896702,16.4910087507091,15.3900851708083,15.1452081464134,16.254635121106,16.0614875467685,15.3646464253297,15.1991436193691,14.8824164638384,17.0650879743666,18.0522995618228,19.4665107775483,-54876.6743203976,-54876.6743203976,-54876.6743203976,-54876.6743203976,-54876.6743203976,75.83533333333335,0.0012169500000000003,27.87533333333332,0.6817080428900524,0.5027663966901047,0.37334512971308903,0.5818412830853926,0.6053509277879581,0.2730152256675393,0.17479074536020944,0.5309760468429319,0.47995614714659685,0.32405690749015703,0.2600605270874869,0.5926250945235602,0.8931464171780106,0.13286266822455498,0.06480997948910995,1.0979903869842933,0.8382550078586388,-0.07603483817617801,-0.07822418801958116,1.0257865892931937,805.5011234293194,798.6843244816754,798.8271428141361,808.86960076178,814.1460891047121,-0.2113708176537958,0.09239393304155759,0.9575577501227094,2.99889625429483,-3.377371423531577,-1.1150698037671793,1.0,1.3947643979057591,1.0,1.0,1.3947643979057591,76.89005235602095
